taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation,
54417,SPECIES,COUNTRY,PH,20130,CMS,
54417,SPECIES,COUNTRY,LK,20130,CMS,
54417,SPECIES,TERRITORY,TW,20130,CMS,
54417,SPECIES,COUNTRY,TH,20130,CMS,
54417,SPECIES,COUNTRY,VN,20130,CMS,
54419,SPECIES,COUNTRY,AF,20130,CMS,
54419,SPECIES,COUNTRY,AM,20130,CMS,
54419,SPECIES,COUNTRY,AZ,20130,CMS,
54419,SPECIES,COUNTRY,BD,20130,CMS,
54419,SPECIES,COUNTRY,BT,20130,CMS,
54419,SPECIES,COUNTRY,BG,20130,CMS,
54419,SPECIES,COUNTRY,KH,20130,CMS,
54419,SPECIES,COUNTRY,CN,20130,CMS,
54419,SPECIES,COUNTRY,CY,20130,CMS,
54419,SPECIES,COUNTRY,KP,20130,CMS,
54419,SPECIES,COUNTRY,FR,20130,CMS,
54419,SPECIES,COUNTRY,GE,20130,CMS,
54419,SPECIES,COUNTRY,GE,20130,CMS,
54419,SPECIES,COUNTRY,GR,20130,CMS,
54419,SPECIES,COUNTRY,IN,20130,CMS,
54419,SPECIES,COUNTRY,IR,20130,CMS,
54419,SPECIES,COUNTRY,IQ,20130,CMS,
54419,SPECIES,COUNTRY,IL,20130,CMS,
54419,SPECIES,COUNTRY,IT,20130,CMS,
54419,SPECIES,COUNTRY,JO,20130,CMS,
54419,SPECIES,COUNTRY,KZ,20130,CMS,
54419,SPECIES,COUNTRY,KW,20130,CMS,
54419,SPECIES,COUNTRY,KG,20130,CMS,
54419,SPECIES,COUNTRY,LB,20130,CMS,
54419,SPECIES,COUNTRY,MN,20130,CMS,
54419,SPECIES,COUNTRY,MM,20130,CMS,
54419,SPECIES,COUNTRY,NP,20130,CMS,
54419,SPECIES,COUNTRY,PK,20130,CMS,
54419,SPECIES,COUNTRY,PT,20130,CMS,
54419,SPECIES,COUNTRY,KR,20130,CMS,
54419,SPECIES,COUNTRY,MD,20130,CMS,
54419,SPECIES,COUNTRY,RO,20130,CMS,
54419,SPECIES,COUNTRY,RU,20130,CMS,
54419,SPECIES,COUNTRY,SA,20130,CMS,
54419,SPECIES,COUNTRY,ES,20130,CMS,
54419,SPECIES,COUNTRY,CH,20130,CMS,
54419,SPECIES,COUNTRY,SY,20130,CMS,
