Kingdom,SpcRecID,LegListing,LegDateListed,CtyRecID,LegNotes,,,,,,,,,,,,,,
Animalia,455,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,458,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,459,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,460,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,461,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,462,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,463,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,464,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,465,II/w,06/01/1989 00:00,14,NULL,,,,,,,,,,,,,,
Animalia,465,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,465,II,18/01/1990 00:00,NULL,Included with SCLERACTINIA spp.,,,,,,,,,,,,,,
Animalia,465,II/r,01/08/1985 00:00,14,NULL,,,,,,,,,,,,,,
Animalia,467,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,468,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,469,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,470,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,471,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,472,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,473,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,474,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,475,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,476,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,477,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,478,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,479,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,480,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,481,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,484,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,485,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,486,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,487,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,488,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,489,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,490,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,491,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,512,I/w,06/01/1989 00:00,14,NULL,,,,,,,,,,,,,,
Animalia,512,I,29/07/1983 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,512,II,01/07/1975 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,512,I/r,29/07/1983 00:00,14,NULL,,,,,,,,,,,,,,
Animalia,514,II,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,516,II,18/01/1990 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,517,II,18/01/1990 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,518,II,18/01/1990 00:00,NULL,NULL,,,,,,,,,,,,,,
