Date,Manual ID,Title,Lang,Master Document ID,Volume,Type,General/ Part,PDF Filename trimmed
1989,A-303.010.028.001,Manual de identificación de la CITES - Iguana delicatissima,ES,A-303.010.028.001,3,CITES ID Manual,General,A-303.010.028.001 Iguana delicatissima_S.pdf
1989,A-303.010.028.002,CITES ID Manual - Iguana iguana,EN,,3,CITES ID Manual,General,A-303.010.028.002 Iguana iguana_E.pdf
1989,A-303.010.028.002,Manual de identificación de la CITES - Iguana iguana,ES,A-303.010.028.002,3,CITES ID Manual,General,A-303.010.028.002 Iguana iguana_S.pdf
1983,A-303.010.048.008,CITES ID Manual - Sauromalus varius,EN,,3,CITES ID Manual,General,A-303.010.048.008 Sauromalus varius_E.pdf
1983,A-303.010.048.008,Manual de identificación de la CITES - Sauromalus varius,ES,A-303.010.048.008,3,CITES ID Manual,General,A-303.010.048.008 Sauromalus varius_S.pdf
2004,A-303.011.010.003,Manual de identificación de la CITES - Gallotia simonyi,ES,A-303.011.010.003,3,CITES ID Manual,General,A-303.011.010.003 Gallotia simonyi_S.pdf
2004,A-303.011.021.005,Manual de identificación de la CITES - Podarcis lilfordi,ES,A-303.011.021.005,3,CITES ID Manual,General,A-303.011.021.005 Podarcis lilfordi_S.pdf
2004,A-303.011.021.011,Manual de identificación de la CITES - Podarcis pityusensis,ES,A-303.011.021.011,3,CITES ID Manual,General,A-303.011.021.011 Podarcis pityusensis_S.pdf
2006,A-303.013.010.001,CITES ID Manual - Hoplodactylus,EN,,3,CITES ID Manual,General,A-303.013.010.001 Hoplodactylus_E.pdf
2006,A-303.013.010.002,CITES ID Manual - Naultinus,EN,,3,CITES ID Manual,General,A-303.013.010.002 Naultinus_E.pdf
1993,A-303.014.016.001,CITES ID Manual - Corucia zebrata,EN,,3,CITES ID Manual,General,A-303.014.016.001 Corucia zebrata_E.pdf
1986,A-303.016.000.001,Manual de identificación de la CITES - Varanidae - Notas generales,ES,,3,CITES ID Manual,General,A-303.016.000.001 Varanidae general notes_S.pdf
1985,A-303.016.001.001,CITES ID Manual - Varanus acanthurus,EN,,3,CITES ID Manual,General,A-303.016.001.001 Varanus acanthurus_EN.pdf
1985,A-303.016.001.001,Manual de identificación de la CITES - Varanus acanthurus,ES,A-303.016.001.001,3,CITES ID Manual,General,A-303.016.001.001 Varanus acanthurus_S.pdf
1986,A-303.016.001.002,CITES ID Manual - Varanus bengalensis,EN,,3,CITES ID Manual,General,A-303.016.001.002 Varanus bengalensis_EN.pdf
1986,A-303.016.001.002,Manual de identificación de la CITES - Varanus bengalensis,ES,A-303.016.001.002,3,CITES ID Manual,General,A-303.016.001.002 Varanus bengalensis_S.pdf
1986,A-303.016.001.002,Manuel d'identification de la CITES - Varanus bengalensis,FR,A-303.016.001.002,3,CITES ID Manual,General,A-303.016.001.002 Varanus bengalensis_F.pdf
1985,A-303.016.001.003,CITES ID Manual - Varanus brevicauda,EN,,3,CITES ID Manual,General,A-303.016.001.003 Varanus brevicauda_EN.pdf
1985,A-303.016.001.003,Manual de identificación de la CITES - Varanus brevicauda,ES,A-303.016.001.003,3,CITES ID Manual,General,A-303.016.001.003 Varanus brevicauda_S.pdf
1985,A-303.016.001.004,CITES ID Manual - Varanus caudolineatus,EN,,3,CITES ID Manual,General,A-303.016.001.004 Varanus caudolineatus_EN.pdf
1985,A-303.016.001.004,Manual de identificación de la CITES - Varanus caudolineatus,ES,A-303.016.001.004,3,CITES ID Manual,General,A-303.016.001.004 Varanus caudolineatus_S.pdf
1986,A-303.016.001.005,CITES ID Manual - Varanus dumerilii,EN,,3,CITES ID Manual,General,A-303.016.001.005 Varanus dumerilii_EN.pdf
1986,A-303.016.001.005,Manual de identificación de la CITES - Varanus dumerilii,ES,A-303.016.001.005,3,CITES ID Manual,General,A-303.016.001.005 Varanus dumerilii_S.pdf
1986,A-303.016.001.005,Manuel d'identification de la CITES - Varanus dumerilii,FR,A-303.016.001.005,3,CITES ID Manual,General,A-303.016.001.005 Varanus dumerilii_F.pdf
1984,A-303.016.001.006,CITES ID Manual - Varanus eremius,EN,,3,CITES ID Manual,General,A-303.016.001.006 Varanus eremius_EN.pdf
1984,A-303.016.001.006,Manual de identificación de la CITES - Varanus eremius,ES,A-303.016.001.006,3,CITES ID Manual,General,A-303.016.001.006 Varanus eremius_S.pdf
1986,A-303.016.001.007,CITES ID Manual - Varanus exanthematicus,EN,,3,CITES ID Manual,General,A-303.016.001.007 Varanus exanthematicus_EN.pdf
1986,A-303.016.001.007,Manual de identificación de la CITES - Varanus exanthematicus,ES,A-303.016.001.007,3,CITES ID Manual,General,A-303.016.001.007 Varanus exanthematicus_S.pdf
1986,A-303.016.001.008,CITES ID Manual - Varanus flavescens,EN,,3,CITES ID Manual,General,A-303.016.001.008 Varanus flavescens_EN.pdf
1986,A-303.016.001.008,Manual de identificación de la CITES - Varanus flavescens,ES,A-303.016.001.008,3,CITES ID Manual,General,A-303.016.001.008 Varanus flavescens_S.pdf
1986,A-303.016.001.008,Manuel d'identification de la CITES - Varanus flavescens,FR,A-303.016.001.008,3,CITES ID Manual,General,A-303.016.001.008 Varanus flavescens_F.pdf
1985,A-303.016.001.009,CITES ID Manual - Varanus giganteus,EN,,3,CITES ID Manual,General,A-303.016.001.009 Varanus giganteus_EN.pdf
1985,A-303.016.001.009,Manual de identificación de la CITES - Varanus giganteus,ES,A-303.016.001.009,3,CITES ID Manual,General,A-303.016.001.009 Varanus giganteus_S.pdf
1985,A-303.016.001.010,CITES ID Manual - Varanus gilleni,EN,,3,CITES ID Manual,General,A-303.016.001.010 Varanus gilleni_EN.pdf
