Kingdom,OrdName,FamName,GenName,SpcName,SpcInfraRank,SpcInfraEpithet,SpcRecID,SpcStatus,AcceptedSpcRecID,,
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,johnii,NULL,NULL,28771,S,22038
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,obscura,NULL,NULL,28773,S,22039
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,comata,ssp.,hosei,28740,S,18128
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,comata,ssp.,thomasi,28742,S,18132
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,cristata,NULL,NULL,28765,S,22035
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,fredericae,NULL,NULL,18133,S,73333
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,aygula,NULL,NULL,28549,S,18125
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,melalophos,ssp.,femoralis,28739,S,18126
Animalia,CHORDATA,MAMMALIA,CINGULATA,DASYPODIDAE,Priodontes,giganteus,NULL,NULL,28554,S,18144
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Prionailurus,bengalensis,ssp.,iriomotensis,28555,S,18151
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Procolobus,badius,NULL,NULL,44271,S,18240
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Procolobus,foai,NULL,NULL,98468,S,73336
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Procolobus,tephrosceles,NULL,NULL,98469,S,73340
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Procolobus,tholloni,NULL,NULL,44267,S,73341
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Procolobus,pennantii,NULL,NULL,44269,S,18241
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Procolobus,preussi,NULL,NULL,44270,S,18243
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Procolobus,kirkii,NULL,NULL,44264,S,18242
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Procolobus,gordonorum,NULL,NULL,44265,S,18246
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Procolobus,rufomitratus,NULL,NULL,44266,S,18244
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,moojeni,NULL,NULL,99523,S,69778
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,yonenagae,NULL,NULL,101520,S,18304
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,myosuros,NULL,NULL,77897,S,18292
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,setosus,NULL,NULL,77898,S,18298
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,mirapitanga,NULL,NULL,98427,S,77893
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,albispinus,NULL,NULL,77894,S,18272
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,dimidiatus,NULL,NULL,77895,S,18281
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,iheringi,NULL,NULL,77896,S,18288
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,warreni,NULL,NULL,18303,S,18277
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,cayennensis,NULL,NULL,44230,S,18277
