Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
acanthura,SPECIES,,GENUS,2303,S,"Köhler et al., 2000",,CITES_EU,SPECIES,98219
defensor,SPECIES,,GENUS,98457,S,"Cope; Malone, Reynoso & Buckley 2017",,CITES_EU,SPECIES,98220
bakeri,SPECIES,,GENUS,30394,S,"Stejneger, 1901",,CITES_EU,SPECIES,5031
clarki,SPECIES,,GENUS,30394,S,"Bailey, 1928",,CITES_EU,SPECIES,98222
conspicuosa,SUBSPECIES,,SPECIES,98225,S,"Lowe & Norris, 1955",,CITES_EU,SPECIES,98221
defensor,SPECIES,,GENUS,98457,S,"Cope, 1866",,CITES_EU,SPECIES,98223
erythromelas,SPECIES,,GENUS,98457,S,"Boulenger, 1886",,CITES_EU,SPECIES,98223
erythromelas,SPECIES,,GENUS,2303,S,"Boulenger, 1887",,CITES_EU,SPECIES,98223
annectens,SPECIES,,GENUS,2303,S,"Werner, 1911",,CITES_EU,SPECIES,98223
erythromelas,SPECIES,,GENUS,30394,S,"Smith & Taylor, 1950",,CITES_EU,SPECIES,98223
defensor,SPECIES,,GENUS,30394,S,"Duellman, 1965",,CITES_EU,SPECIES,98223
defensor,SPECIES,,GENUS,98457,S,"Cope; Malone, Reynoso & Buckley 2017",,CITES_EU,SPECIES,98223
flavidorsalis,SPECIES,,GENUS,2303,S,"Köhler et al., 2000",,CITES_EU,SPECIES,98224
hemilopha,SPECIES,,GENUS,2545,S,"Cope, 1863",,CITES_EU,SPECIES,98225
interrupta,SPECIES,,GENUS,2303,S,"Bocourt, 1882",,CITES_EU,SPECIES,98225
insulana,SPECIES,,GENUS,2303,S,"Dickerson, 1919",,CITES_EU,SPECIES,98225
insulana,SUBSPECIES,,SPECIES,98225,S,"Lower & Norris, 1955",,CITES_EU,SPECIES,98225
interrupta,SUBSPECIES,,SPECIES,98225,S,"Lower & Norris, 1955",,CITES_EU,SPECIES,98225
hemilopha,SUBSPECIES,,SPECIES,98225,S,"Smith, 1972",,CITES_EU,SPECIES,98225
hemilopha,SPECIES,,GENUS,2303,S,"Köhler et al., 2000",,CITES_EU,SPECIES,98225
macrolopha,SUBSPECIES,,SPECIES,98225,S,"Smith, 1972",,CITES_EU,SPECIES,98226
melanosterna,SPECIES,,GENUS,2303,S,"Köhler et al., 2000",,CITES_EU,SPECIES,11046
nolascensis,SUBSPECIES,,SPECIES,98225,S,"Smith, 1972",,CITES_EU,SPECIES,98227
oedirhina,SPECIES,,GENUS,2303,S,"Köhler et al., 2000",,CITES_EU,SPECIES,8208
palearis,SPECIES,,GENUS,2303,S,"Köhler et al., 2000",,CITES_EU,SPECIES,10819
pectinata,SPECIES,,GENUS,2545,S,"Wiegmann, 1834",,CITES_EU,SPECIES,98229
brevirostris,SPECIES,,GENUS,2303,S,"Cope, 1886",,CITES_EU,SPECIES,98229
brachylopha,SUBSPECIES,,SPECIES,98466,S,"Cope, 1887",,CITES_EU,SPECIES,98229
brachylopha,SPECIES,,GENUS,2303,S,"Bailey, 1928",,CITES_EU,SPECIES,98229
parkeri,SPECIES,,GENUS,2303,S,"Bailey, 1928",,CITES_EU,SPECIES,98229
quinquecarinata,SPECIES,,GENUS,2545,S,"Gray, 1842",,CITES_EU,SPECIES,98229
quinquecarinata,SPECIES,,GENUS,2545,S,"Cope, 1870",,CITES_EU,SPECIES,98229
quinquecarinata,SPECIES,,GENUS,2303,S,"Bocourt, 1874",,CITES_EU,SPECIES,98229
similis,SPECIES,,GENUS,1950,S,"Gray, 1831",,CITES_EU,SPECIES,98231
similis,SUBSPECIES,,SPECIES,98231,S,"Gray, 1831",,CITES_EU,SPECIES,98231
completa,SPECIES,,GENUS,2303,S,"Bocourt, 1874",,CITES_EU,SPECIES,98231
multipunctata,SUBSPECIES,,SPECIES,98231,S,"Barbour & Shreve, 1934",,CITES_EU,SPECIES,98231
similis,SPECIES,,GENUS,2303,S,"Köhler et al., 2000",,CITES_EU,SPECIES,98231
bourreti,SUBSPECIES,,SPECIES,10210,S,"Obst & Reimann, 1994",,CITES_EU,SPECIES,65766
bourreti,SUBSPECIES,,SPECIES,33906,S,"Obst & Reimann, 1994",,CITES_EU,SPECIES,65766
bourreti,SPECIES,,GENUS,29903,S,"Obst & Reimann, 1994",,CITES_EU,SPECIES,65766
picturata,SUBSPECIES,,SPECIES,10210,S,"Lehr, Fritz & Obst, 1998",,CITES_EU,SPECIES,65767
picturata,SUBSPECIES,,SPECIES,33906,S,"Lehr, Fritz & Obst, 1998",,CITES_EU,SPECIES,65767
picturata,SPECIES,,GENUS,29903,S,"Lehr, Fritz & Obst, 1998",,CITES_EU,SPECIES,65767
seba,SUBSPECIES,,SPECIES,98470,S,"Gray, 1870",,CITES_EU,SPECIES,9554
chinhaiensis,SPECIES,,GENUS,793,S,"Chang, 1932",,CITES_EU,SPECIES,98234
chinhaiensis,SPECIES,,GENUS,793,S,,,CITES_EU,SPECIES,98234
chinhaiensis,SPECIES,,GENUS,2685,S,"Chang, 1932",,CITES_EU,SPECIES,98234
chinhaiensis,SPECIES,,GENUS,2685,S,,,CITES_EU,SPECIES,98234
daweishanensis,SPECIES,,GENUS,793,S,"Nishikawa et al., 2015",,CITES_EU,SPECIES,65401
spallanzanii,SPECIES,,GENUS,98242,S,"Rafinesque, 1810",,CITES_EU,SPECIES,98243
cepedii,SPECIES,,GENUS,98458,S,"Lesson, 1830",,CITES_EU,SPECIES,98243
oxyrhina,SPECIES,,GENUS,1482,S,"Cuvier and Valenciennes, in Agassiz, 1838",,CITES_EU,SPECIES,98243
gomphodon,SPECIES,,GENUS,98459,S,"Müller and Henle, 1839",,CITES_EU,SPECIES,98243
dekayi,SPECIES,,GENUS,98460,S,"Gill, 1862",,CITES_EU,SPECIES,98243
tigris,SPECIES,,GENUS,30352,S,"Atwood, 1865",,CITES_EU,SPECIES,98243
guentheri,SPECIES,,GENUS,1482,S,"Murray, 1884",,CITES_EU,SPECIES,98243
huidobrii,SPECIES,,GENUS,1482,S,"Philippi, 1887",,CITES_EU,SPECIES,98243
mako,SPECIES,,GENUS,98242,S,"Whitley, 1929",,CITES_EU,SPECIES,98243
bideni,SPECIES,,GENUS,98242,S,"Phillipps, 1932",,CITES_EU,SPECIES,98243
glaucus,SPECIES,,GENUS,98242,S,"Müller and Henle, 1839",,CITES_EU,SPECIES,98243
cemiculus,SPECIES,,GENUS,98264,S,"Geoffroy St. Hilaire, 1827",,CITES_EU,SPECIES,98329
cemiculus,SPECIES,,GENUS,98461,S,"Geoffroy Saint-Hilaire, 1817",,CITES_EU,SPECIES,98329
