taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation,Reference
8327,SPECIES,TERRITORY,TW,18787,CITES_EU,
68361,SPECIES,TERRITORY,TW,18787,CITES_EU,
6732,SPECIES,TERRITORY,TW,18787,CITES_EU,
7545,SPECIES,COUNTRY,TH,18787,CITES_EU,
8327,SPECIES,COUNTRY,TH,18787,CITES_EU,
6732,SPECIES,COUNTRY,TH,18787,CITES_EU,
7545,SPECIES,COUNTRY,TL,18787,CITES_EU,
10712,SPECIES,COUNTRY,TL,18787,CITES_EU,
68361,SPECIES,COUNTRY,TL,18787,CITES_EU,
8327,SPECIES,TERRITORY,TK,18787,CITES_EU,
6732,SPECIES,TERRITORY,TK,18787,CITES_EU,
8893,SPECIES,COUNTRY,TO,18787,CITES_EU,
11215,SPECIES,COUNTRY,TO,18787,CITES_EU,
8327,SPECIES,COUNTRY,TO,18787,CITES_EU,
7683,SPECIES,COUNTRY,TO,18787,CITES_EU,
6732,SPECIES,COUNTRY,TO,18787,CITES_EU,
8327,SPECIES,COUNTRY,TV,18787,CITES_EU,
6732,SPECIES,COUNTRY,TV,18787,CITES_EU,
