ComName,LangShort,RecId,Rank,Designation,ReferenceID
Snegås,DAN,1574,species,"EU,CMS",6234
Dværggås,DAN,1575,species,"EU,CMS",
Sædgås,DAN,1576,species,"EU,CMS",
Kortnæbbet Gås,DAN,1578,species,CMS,
Kanariske Piber,DAN,1652,species,EU,
Markpiber,DAN,1653,species,EU,
Rødstrubet Piber,DAN,1654,species,EU,
Acrocephalus,DAN,1658,species,EU,
Skærpiber,DAN,1660,species,EU,
Engpiber,DAN,1661,species,EU,
Skovpiber,DAN,1666,species,EU,
gaffelbuk,DAN,1677,species,"CITES,EU",
Hjorteantilope eller bezoarantilope,DAN,1681,species,"CITES,EU",
Mursejler,DAN,1942,species,EU,
Kaffersejler,DAN,1944,species,EU,
Gråsejler,DAN,1946,species,EU,
Iberisk kejserørn,DAN,1951,species,"CITES,EU",
Spansk kejserørn,DAN,1951,species,"CITES,EU",6234
Kongeørn,DAN,1953,species,"CITES,EU",
Stor skrigeørn,DAN,1954,species,"CITES,EU",
Kejserørn,DAN,1956,species,"CITES,EU",
Steppeørn,DAN,1957,species,"CITES,EU",
Lille skrigeørn,DAN,1958,species,"CITES,EU",
Verreaux Ørn,DAN,1960,species,"CITES,EU",
Stor militærara,DAN,1963,species,"CITES,EU",6234
Caninde ara,DAN,1968,species,"CITES,EU",6234
Lysrød ara,DAN,1969,species,"CITES,EU",6234
Rødrygget dværgara,DAN,1971,species,"CITES,EU",6234
Lille militærara,DAN,1972,species,"CITES,EU",6234
Brunkindet ara,DAN,1974,species,"CITES,EU",6234
Arapaima,DAN,1991,species,"CITES,EU",
Guldparakit,DAN,2001,species,"CITES,EU",6234
binturong,DAN,2051,species,"CITES,EU",
Fiskehejre,DAN,2073,species,"EU,CMS-AEWA",
Kæmpehejre,DAN,2074,species,"CITES,EU",6234
Purpurhejre,DAN,2078,species,"EU,CMS",
Tophejre,DAN,2083,species,"EU,CMS-AEWA",
Arabisk Trappe,DAN,2085,species,"CITES,EU",
Indisk trappe,DAN,2088,species,"CITES,EU",6234
Stenvender,DAN,2090,species,"EU,CMS",
Stor argusfasan,DAN,2099,species,"CITES,EU",6234
Kapugle,DAN,2165,species,"CITES,EU",
Moselhornugle,DAN,2167,species,"CITES,EU",
Skovhornugle,DAN,2169,species,"CITES,EU",
underart af Geoffreys edderkoppeabe,DAN,2280,subspecies,"CITES,EU",
underart af Geoffreys edderkoppeabe,DAN,2281,subspecies,"CITES,EU",
Lille skovugle,DAN,2349,species,"CITES,EU",6234
Plettet Minervaugle,DAN,2350,species,"CITES,EU",
Kirkeugle,DAN,2351,species,"CITES,EU",
Larm-kratfugl,DAN,2372,species,"CITES,EU",6234
Dalmatisk barbe-grundling,DAN,2403,species,EU,
Lille Bjergand,DAN,2450,species,CMS,
Halsbåndtroldand,DAN,2452,species,CMS,
Taffeland,DAN,2453,species,"EU,CMS",
Troldand,DAN,2454,species,"EU,CMS",
Bjergand,DAN,2456,species,"EU,CMS",
