Kingdom,PhyName,ClaName,OrdName,FamName,GenName,Spcname,SpcInfraRank,SpcInfraepithet,Spcrecid,SpcStatus
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Lycalopex,gymnocercus,NULL,NULL,18441,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Prionailurus,viverrinus,NULL,NULL,18150,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Prionailurus,iriomotensis,NULL,NULL,18151,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Profelis,aurata,NULL,NULL,18306,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Prionailurus,bengalensis,ssp.,bengalensis,18147,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Prionailurus,planiceps,NULL,NULL,18148,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Prionailurus,rubiginosus,NULL,NULL,18149,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Panthera,tigris,ssp.,altaica,15956,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Pardofelis,marmorata,NULL,NULL,16218,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Prionailurus,bengalensis,NULL,NULL,18146,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Panthera,onca,NULL,NULL,15953,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Panthera,pardus,NULL,NULL,15954,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Panthera,tigris,NULL,NULL,15955,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,manul,NULL,NULL,15640,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Panthera,leo,NULL,NULL,15951,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Panthera,leo,ssp.,persica,15952,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,pajeros,ssp.,crespoi,15313,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,pajeros,ssp.,pajeros,15314,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,jacobitus,NULL,NULL,15452,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,geoffroyi,NULL,NULL,15310,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,guigna,NULL,NULL,15311,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,pajeros,ssp.,budini,15312,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Lynx,rufus,ssp.,escuinapae,12523,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Neofelis,nebulosa,NULL,NULL,14519,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,colocolo,NULL,NULL,15309,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Lynx,pardinus,NULL,NULL,12520,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Lynx,rufus,NULL,NULL,12521,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Lynx,lynx,ssp.,isabellinus,12522,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leptailurus,serval,NULL,NULL,11638,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Lynx,canadensis,NULL,NULL,12518,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Lynx,lynx,NULL,NULL,12519,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,tigrinus,ssp.,oncilla,11514,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,wiedii,ssp.,nicaraguae,11515,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,wiedii,ssp.,salvinia,11516,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,wiedii,NULL,NULL,11511,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,pardalis,ssp.,mearnsi,11512,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,pardalis,ssp.,mitis,11513,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Puma,yagouaroundi,ssp.,panamensis,9951,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,pardalis,NULL,NULL,11509,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,tigrinus,NULL,NULL,11510,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Puma,yagouaroundi,NULL,NULL,9948,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Puma,yagouaroundi,ssp.,cacomitli,9949,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Puma,yagouaroundi,ssp.,fossata,9950,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,silvestris,ssp.,ocreata,8544,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,silvestris,ssp.,lybica,8545,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,EUPLERIDAE,Fossa,fossana,NULL,NULL,8668,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,margarita,NULL,NULL,8541,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,nigripes,NULL,NULL,8542,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,silvestris,NULL,NULL,8543,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,EUPLERIDAE,Eupleres,goudotii,NULL,NULL,8327,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,bieti,NULL,NULL,8539,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,chaus,NULL,NULL,8540,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Chrysocyon,brachyurus,NULL,NULL,4819,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,EUPLERIDAE,Cryptoprocta,ferox,NULL,NULL,5760,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Cuon,alpinus,NULL,NULL,5953,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Catopuma,badia,NULL,NULL,4037,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Catopuma,temminckii,NULL,NULL,4038,A
